NewRollNo,Class,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Question36,Question37,Question38,Question39,Question40,Question41,Question42,Question43,Question44,Question45,Question46,Question47,Question48,Question49,Question50,Question51,Question52,Question53,Question54,Question55,Question56,Question57,Question58,Question59,Question60,Question61,Question62,Question63,Question64,Question65,Question66,Question67,Question68,Question69,Question70,Question71,Question72,Question73,Question74,Question75,Question76,Question77,Question78,Question79,Question80,Question81,Question82,Question83,Question84,Question85,Question86,Question87,Question88,Question89,Question90
1001,5,C,D,A,A,C,C,C,B,E,C,B,E,B,A,C,B,D,A,C,B,D,B,D,E,D,A,D,D,B,D,B,C,E,E,E,A,D,B,D,C,C,A,C,C,C,B,D,B,D,A,C,E,B,C,E,A,A,E,C,B,A,A,C,A,E,"A,C",D,D,C,A,B,E,C,A,E,A,A,A,E,C,,,,,,,,,,
1002,5,D,"A,D",B,B,C,C,C,E,C,A,C,C,B,E,A,B,D,A,C,E,D,B,D,D,C,B,B,D,D,A,B,"A,C",A,D,A,D,C,C,A,D,A,D,B,C,E,B,D,A,D,C,B,C,B,C,E,E,E,A,B,B,E,A,D,A,E,E,D,B,B,C,B,A,A,B,C,B,B,B,A,"A,E",,,,,,,,,,
1003,5,A,B,A,D,C,C,D,B,E,A,B,C,E,E,C,B,,D,C,A,B,C,D,B,C,A,B,A,D,B,A,C,A,B,C,D,C,"A,E",B,D,A,D,C,B,C,B,C,A,D,C,B,B,B,C,A,D,C,E,B,B,B,B,C,A,D,C,D,E,B,C,A,B,E,B,A,A,D,D,E,C,,,,,,,,,,
1004,5,D,A,B,D,D,C,D,E,B,A,C,C,C,B,C,B,D,E,B,D,B,C,D,B,D,B,"B,C",C,E,E,A,C,D,E,B,E,C,E,"C,E",E,E,B,D,C,C,B,D,E,C,A,B,A,B,B,A,B,C,A,C,B,D,A,B,A,B,D,A,D,B,A,A,"B,E",A,A,A,A,A,A,B,D,,,,,,,,,,
1005,5,D,C,A,B,B,A,C,A,C,C,A,C,D,A,C,D,C,D,D,A,A,A,D,E,E,A,C,C,B,A,E,B,D,C,C,B,A,A,A,C,C,D,D,D,"A,D","A,C",D,C,D,D,C,B,C,D,D,B,"A,B",C,A,C,A,B,C,C,"A,B",B,C,B,D,"C,E",D,A,A,"A,B",B,E,B,C,A,C,,,,,,,,,,
1007,5,B,A,E,A,C,C,A,E,D,D,B,A,C,B,D,B,A,C,C,A,D,C,B,A,D,B,C,D,D,A,B,C,D,B,B,E,A,E,E,E,B,D,B,C,E,A,C,C,B,A,B,D,C,C,D,E,B,D,C,B,A,D,C,A,C,E,C,C,D,E,D,D,D,D,A,A,C,C,E,E,,,,,,,,,,
1008,5,C,D,D,C,C,C,B,B,D,D,B,A,B,E,C,B,E,D,D,A,C,B,D,A,B,C,C,E,B,D,C,C,D,B,D,C,D,C,C,E,B,A,D,C,C,D,B,D,B,B,E,A,B,C,C,D,B,D,C,B,E,A,D,A,A,D,E,E,D,C,A,B,C,B,B,B,A,E,E,A,,,,,,,,,,
1009,5,C,A,E,C,D,C,D,B,D,D,A,A,B,D,C,B,D,D,C,D,B,C,B,A,C,D,C,A,B,B,D,C,C,C,D,B,C,B,A,B,A,B,C,E,C,B,B,D,C,A,B,D,B,D,B,D,C,C,B,B,B,B,C,A,A,C,E,B,D,A,D,D,E,D,C,A,E,C,E,C,,,,,,,,,,
1013,5,A,D,B,B,C,C,D,D,E,D,A,D,E,E,B,D,E,E,A,E,A,B,D,D,D,C,D,C,B,C,E,C,E,E,C,E,A,E,E,E,C,D,C,E,C,D,E,D,D,E,B,D,B,A,A,D,E,B,B,E,E,D,A,E,C,E,E,A,D,A,C,C,A,B,E,D,D,E,B,E,,,,,,,,,,
1014,5,A,D,D,B,D,C,D,C,E,D,B,D,B,E,D,B,C,A,A,E,A,B,D,D,C,C,D,C,B,B,C,E,C,E,E,C,A,E,E,E,C,D,C,"A,E",C,E,C,D,B,C,B,B,C,A,A,D,E,E,A,E,E,D,A,E,C,E,E,A,D,D,A,C,C,A,B,E,D,D,"B,E",D,,,,,,,,,,
1015,5,E,D,A,B,D,D,D,A,E,E,E,B,B,D,D,E,B,E,A,E,A,B,E,E,E,C,D,A,B,E,B,E,E,C,B,E,E,E,A,B,C,D,C,C,E,B,E,C,E,D,D,C,D,C,A,A,B,E,B,E,E,D,A,E,C,E,A,D,E,A,C,C,A,A,B,E,D,E,B,D,,,,,,,,,,
1016,5,E,D,B,B,D,C,D,E,A,D,B,D,E,A,D,A,E,C,D,E,D,B,C,E,C,D,C,C,E,C,C,A,E,E,D,B,E,A,A,C,B,C,E,A,D,A,C,E,B,B,"B,E",B,E,B,A,E,E,A,D,A,E,C,E,D,B,A,E,D,C,B,E,A,C,D,"B,E",,C,,D,A,,,,,,,,,,
1017,5,A,C,B,D,C,C,D,B,E,D,E,A,B,E,D,B,C,D,A,B,B,E,E,A,C,C,E,E,E,E,E,C,D,E,E,E,E,E,E,C,A,C,E,E,C,E,C,E,E,D,D,D,B,A,D,B,C,B,C,B,C,B,D,E,E,E,E,A,C,B,B,B,E,B,A,A,B,E,A,C,,,,,,,,,,
1018,5,C,B,A,B,C,C,B,,E,D,A,B,E,D,D,C,A,B,B,A,B,C,E,D,C,C,D,C,A,B,A,C,D,D,D,E,A,D,E,E,C,D,D,B,C,D,B,C,E,E,D,B,B,C,A,D,B,E,B,A,B,A,D,C,A,D,D,A,A,E,A,B,A,E,A,C,B,C,D,C,,,,,,,,,,
1019,5,B,C,C,B,C,C,D,C,E,D,B,A,B,E,C,C,C,D,A,A,B,C,B,B,D,C,C,A,D,D,B,C,E,D,D,E,C,B,E,B,A,A,C,E,C,B,C,B,A,D,B,A,D,C,A,E,C,A,B,D,D,D,B,A,E,D,E,E,C,E,B,E,C,C,C,B,B,B,B,D,,,,,,,,,,
1020,5,D,D,B,B,C,C,D,B,E,D,B,B,B,E,D,E,A,D,D,E,B,C,D,B,C,D,A,A,B,D,D,C,A,C,C,D,D,E,B,"A,E",E,A,C,A,C,B,C,A,A,C,A,A,A,C,E,E,B,D,C,B,E,D,C,E,B,C,B,C,C,B,A,A,B,D,C,D,C,D,C,C,,,,,,,,,,
1022,5,D,E,B,B,A,C,D,B,E,C,A,D,D,C,D,C,B,E,B,D,B,C,D,C,E,A,C,C,A,D,E,C,A,E,B,E,B,E,A,C,B,C,B,C,A,A,B,B,B,E,B,"B,D",E,C,A,B,C,B,B,B,E,B,C,A,D,E,E,A,D,A,D,E,D,E,E,D,D,E,D,A,,,,,,,,,,
1023,5,A,D,A,D,C,D,D,B,E,D,B,C,E,D,C,B,C,D,B,E,D,C,C,B,D,D,C,A,D,C,A,C,A,C,E,D,E,A,C,D,C,D,E,C,C,A,B,D,B,C,B,B,A,A,C,A,C,E,C,D,A,A,B,E,C,E,E,D,C,B,C,A,D,E,B,A,D,E,D,A,,,,,,,,,,
1024,5,D,D,"A,C",C,C,C,D,B,A,D,B,B,B,D,D,B,D,D,C,A,E,A,B,A,D,B,A,C,E,A,A,C,D,A,B,E,C,D,C,A,E,C,D,C,C,C,B,D,B,A,B,B,A,D,A,C,B,A,B,A,C,D,D,A,D,E,C,C,D,A,D,C,E,B,B,D,B,D,C,E,,,,,,,,,,
1025,5,C,A,E,A,D,C,D,B,E,B,D,"B,E",E,B,C,B,D,D,D,C,D,B,D,B,C,A,D,A,D,A,E,A,E,C,E,A,C,"A,D",D,B,A,B,A,A,B,E,D,A,B,A,B,B,B,C,A,B,E,C,B,A,"A,D",B,C,A,C,E,B,A,E,C,B,A,D,E,A,B,C,E,D,E,,,,,,,,,,
1026,5,C,D,B,E,D,C,D,B,A,D,C,B,B,D,C,B,A,C,B,D,D,B,D,C,"C,E",C,C,A,A,A,B,"C,D",D,C,B,D,B,E,B,D,C,D,E,C,C,B,C,A,C,B,B,D,"A,B,D",D,D,D,B,A,B,A,D,A,C,A,E,E,C,D,D,B,C,D,C,A,C,A,C,E,B,A,,,,,,,,,,
1028,5,"A,C",D,B,B,D,C,B,C,D,C,B,D,B,D,C,A,B,A,A,B,E,E,D,A,C,D,C,C,A,B,E,C,A,B,C,A,C,B,D,B,E,A,B,C,C,C,B,D,A,A,E,A,B,D,A,C,C,B,B,B,B,B,A,A,B,E,D,A,D,C,B,A,C,B,C,A,E,D,D,A,,,,,,,,,,
1030,5,D,B,A,D,C,C,D,B,E,D,C,B,D,C,C,C,B,A,E,A,B,C,B,B,E,C,D,A,E,B,A,C,E,C,A,D,C,E,B,E,A,B,C,E,C,C,C,B,C,E,C,B,B,D,B,B,C,B,C,C,A,B,A,A,C,B,C,E,A,A,E,E,C,B,D,B,E,D,A,C,,,,,,,,,,
1032,5,D,A,B,C,C,C,D,B,E,E,,,D,A,,,,,C,E,B,C,D,B,D,C,C,A,,,A,C,D,E,,E,A,D,,,A,B,C,"A,C",E,B,,C,B,C,B,B,A,C,D,B,C,A,B,A,E,D,E,A,E,E,,,,,D,C,E,B,A,A,E,C,A,C,,,,,,,,,,
1037,5,B,C,A,B,D,C,B,A,E,D,B,A,B,"D,E",C,C,A,D,B,A,B,"C,D",D,C,D,"A,B","A,E",A,A,C,B,C,D,C,E,D,A,A,E,B,A,"C,D","B,C",C,C,D,C,"A,B",B,E,B,D,B,B,D,"A,C","B,C",B,B,"A,C",A,D,B,A,C,E,A,E,D,B,"A,C",C,B,C,E,A,D,C,A,C,,,,,,,,,,
1040,5,,,B,,D,C,D,B,,D,A,C,"B,C",D,E,,C,D,C,E,B,C,D,,C,A,C,C,D,D,E,C,E,E,A,C,A,B,B,E,C,B,C,C,B,C,B,D,B,E,C,"A,D",B,C,A,A,C,E,B,"A,B",B,B,A,E,B,,B,,,,,,,,,,,,,,,,,,,,,,,
1042,5,"A,B",A,D,E,C,C,D,E,E,A,C,"C,E",B,E,E,B,D,C,E,A,B,D,E,A,E,A,C,C,B,C,A,C,E,E,B,E,C,E,E,E,D,E,D,E,C,B,B,C,C,A,D,C,E,C,D,D,"D,E",C,B,B,D,B,C,A,E,E,E,A,D,B,A,B,E,E,E,B,B,A,C,D,,,,,,,,,,
1051,5,D,A,B,B,C,C,D,B,,A,C,B,B,E,D,C,B,D,A,B,D,C,E,C,C,D,B,D,A,E,E,C,E,E,E,D,A,E,E,D,A,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,5,B,D,A,A,D,C,D,B,B,A,A,D,B,D,C,C,B,D,D,D,E,D,B,D,B,D,B,D,A,D,D,A,B,D,B,C,C,E,E,C,C,E,D,C,B,D,D,A,A,B,C,C,D,E,E,E,C,C,E,D,A,B,,C,D,E,C,A,D,B,B,A,C,E,D,C,B,A,E,C,,,,,,,,,,
1067,5,D,C,A,B,C,C,D,B,A,C,C,D,B,D,D,B,D,A,B,B,A,B,E,A,C,C,D,C,B,B,A,C,D,A,A,C,D,D,C,C,A,C,C,D,C,D,C,B,A,C,B,A,C,A,E,D,C,A,A,C,C,C,E,A,A,C,C,E,C,A,A,A,D,A,C,C,D,A,B,D,,,,,,,,,,
1068,5,E,B,A,A,C,B,D,B,A,D,E,B,C,A,D,E,D,E,B,C,B,C,E,D,D,C,A,A,C,D,D,E,A,B,B,E,C,E,E,E,A,B,D,A,D,B,B,D,E,E,B,C,E,A,E,C,C,C,D,B,C,C,C,A,A,E,B,D,E,C,E,B,C,A,E,D,B,B,C,E,,,,,,,,,,
1070,5,E,B,D,B,C,B,A,B,A,E,B,C,B,D,C,B,C,A,B,D,B,B,B,"A,C",C,B,C,D,E,A,B,C,D,E,A,A,B,C,D,E,A,A,B,C,D,B,E,D,D,"C,D",C,B,D,E,C,B,A,B,C,D,"A,B",B,C,D,E,D,C,B,A,C,A,A,C,A,C,B,D,B,D,C,,,,,,,,,,
1071,5,B,B,C,C,C,D,C,C,C,D,B,C,B,D,D,C,,B,A,A,B,C,D,A,C,B,D,C,C,C,B,C,D,D,B,D,D,C,A,D,C,C,D,C,E,E,C,D,D,E,D,,B,D,C,B,D,C,C,D,C,B,C,B,D,C,,B,C,,"B,D",C,B,C,D,C,C,"B,D",C,B,,,,,,,,,,
